code,name,level,GPT-4o Mini,GPT-4o Mini_count,GPT-4o,GPT-4o_count,Claude Haiku 4.5,Claude Haiku 4.5_count,Claude Sonnet 4,Claude Sonnet 4_count,Gemini 2.5 Flash,Gemini 2.5 Flash_count,Gemini 2.5 Pro,Gemini 2.5 Pro_count
43000000,"Tecnologia de la Informacion, Telecomunicaciones y Difusion (Division 43)",DIVISION,"tecnologia, telecomunicaciones, informatica, servicios de IT, soluciones tecnológicas",5,"ti, telecomunicaciones, difusion, tecnologia, sistemas, informatica, it",7,"IT, informatica, telecomunicaciones, tecnologia digital, difusion, medios, redes, sistemas",8,"tecnologia, sistemas, IT, informatica, telecomunicaciones, software, hardware, equipos tecnologicos",8,"sistemas, software, hardware, redes, internet, comunicaciones, media, digital",8,,0
56000000,Muebles y Mobiliario (Division 56),DIVISION,"muebles, mobiliario, decoracion, muebles de oficina, muebles para casa",5,"muebles, mobiliario, equipamiento, decoracion, muebles oficina, muebles hogar, muebles comerciales",7,"muebles, mobiliario, sillas, escritorios, estantes, decoracion, equipamiento, enseres",8,"muebles, mobiliario, oficina, escritorios, sillas, archiveros, estantes, decoracion",8,"enseres, equipamiento, decoracion, hogar, oficina, amueblado, interiorismo, diseño",8,,0
43210000,Equipo informatico y accesorios y relacionados (Grupo 4321),GROUP,"equipo informatico, computadoras, accesorios de computadora, hardware, tecnologia",5,"equipo computo, accesorios computo, hardware, perifericos, accesorios pc, partes computadora, componentes informaticos",7,"equipo informatico, computadoras, accesorios tech, perifericos, hardware, dispositivos digitales, equipo de computo",7,"equipos de computo, hardware, accesorios informaticos, perifericos, componentes PC, tecnologia computacional",6,"hardware, perifericos, componentes, accesorios compu, equipo computo, refacciones pc, gadgets, electronica",8,,0
50200000,Bebidas y relacionados (Grupo 5020),GROUP,"bebidas, bebidas no alcoholicas, refrescos, jugos, aguas",5,"bebidas, refrescos, jugos, bebidas alcoholicas, bebidas energeticas, bebidas gaseosas, bebidas embotelladas",7,"bebidas, refrescos, jugos, aguas, bebidas sin alcohol, bebidas con alcohol, licores, tragos",8,"bebidas, refrescos, jugos, aguas, chelas, cheves, liquidos, bebidas preparadas",8,"refrescos, jugos, agua embotellada, licores, alcohol, sodas, energizantes, hidratantes",8,,0
43211500,Computadores,CLASS,"computadora, desktop, PC, computadora de escritorio, equipo de computo",5,"computadora, pc, desktop, equipo computo, pc de escritorio, torre, equipo informatico",7,"compu, computadora, PC, desktop, laptop, maquina, equipo de computo, procesador",8,"compus, PC, equipos de computo, desktop, all in one, workstation, servidores",7,"pc, laptop, desktop, workstation, equipo computo, computadoras personales, compu, cpu",8,,0
43211700,Dispositivos de almacenamiento,CLASS,"disco duro, USB, memoria externa, almacenamiento, dispositivos de memoria",5,"disco duro, usb, almacenamiento externo, ssd, memoria externa, disco solido, almacenamiento masivo",7,"almacenamiento, disco duro, SSD, memoria, USB, tarjeta SD, pendrive, backup",8,"discos duros, USB, memorias, almacenamiento digital, respaldos, storage, dispositivos memoria",7,"discos duros, ssd, usb, memoria, pendrive, almacenamiento externo, hdd, nube",8,,0
50202300,Bebidas alcoholicas,CLASS,"bebidas alcoholicas, chela, cheve, vino, licor",5,"chela, cheve, birra, cerveza artesanal, cerveza de barril, vino, licor",7,"chela, cheve, birra, cerveza artesanal, whiskey, tequila, ron, vodka",8,"chelas, cheves, birras, vinos, licores, destilados, bebidas con alcohol, cervezas artesanales",8,"chela, cheve, vino, tequila, mezcal, cerveza, licores, destilados",8,,0
80141600,Actividades de ventas y promocion de negocios,CLASS,"ventas, promocion, marketing, estrategias de venta, mercadeo",5,"promocion ventas, marketing, ventas, actividades comerciales, promocion productos, estrategias ventas, publicidad",7,"ventas, promocion, marketing, publicidad, negocio, comercializacion, distribucion, venta de servicios",8,"marketing, promociones, ventas, publicidad, mercadotecnia, campañas comerciales, estrategias ventas, promocion productos",8,"marketing, publicidad, promocion, ventas, prospeccion, desarrollo negocios, consultoria comercial, estrategia comercial",8,,0
43211501,Computadores de tableta,PRODUCT,"tablet, computadora tablet, iPad, dispositivo portátil, tableta",5,"tablet, ipad, tableta, dispositivo tactil, tablet pc, equipo portatil, dispositivo movil",7,"tablet, iPad, tableta, dispositivo tactil, pantalla tactil, tablet Android, tab",7,"tablets, iPad, tabletas digitales, dispositivos tactiles, tab, tabletas graficas",6,"tablet, iPad, galaxy tab, surface, tableta digital, tableta electronica, mini lap, slate pc",8,,0
43211503,Computadores notebook,PRODUCT,"notebook, laptop, computadora portátil, equipo movil, laptop ligera",5,"laptop, notebook, lap, portatil, equipo portatil, computadora portatil, macbook",7,"notebook, laptop, lap, computadora portatil, netbook, ultrabook, maquina portatil",7,"laptops, lap, notebook, portatiles, computadoras portatiles, laptop gaming, ultrabook",7,"laptop, notebook, ultrabook, netbook, portatil, lap, compu portatil, mini laptop",8,,0
43211507,Computadores de escritorio,PRODUCT,"compu de escritorio, computadora de escritorio, desktop, PC, computadora fija",5,"pc de escritorio, computadora fija, desktop, compu de oficina, equipo de escritorio",5,"compu escritorio, pc de escritorio, desktop, computadora fija, equipo de computo, cpu, torre",7,"compu de escritorio, PC escritorio, computadora fija, desktop, torre, CPU escritorio, equipo escritorio",7,,0,,0
43211509,Servidores de computador,PRODUCT,"servidor, servidor de computo, equipo de servidor, servidor dedicado, servidor virtual",5,"servidor de red, servidor dedicado, equipo servidor, servidor en rack, servidor empresarial",5,"servidor, server, equipo servidor, computador servidor, infraestructura ti, maquina servidor",6,"server, servidor web, servidor datos, equipo servidor, servidor red, servidor empresa, rack server",7,,0,,0
