code,name,level,parent_name,similar_words,num_synonyms
20000000,Mineria y Perforacion de Pozos (Division 20),DIVISION,,"explotación minera, perforación de pozos, minería, servicios de minería, trabajos de perforación, extracción de minerales",6
30000000,Componentes para Construccion y Obras Civiles (Division 30),DIVISION,,"materiales de construcción, componentes de obras, suministros para construcción, insumos para obras civiles, productos de construcción",5
41000000,"Laboratorio, Medida y Observacion (Division 41)",DIVISION,,"equipos de laboratorio, instrumentos de medición, herramientas de observación, dispositivos de análisis, suministros de laboratorio",5
48000000,Maquinaria y Equipos para Servicios (Division 48),DIVISION,,"maquinaria pesada, equipos industriales, herramientas para servicios, maquinaria para construcción, equipos de trabajo",5
76000000,Servicios de Limpieza y Gestion de Residuos (Division 76),DIVISION,,"servicios de limpieza, gestión de residuos, aseo y limpieza, mantenimiento de instalaciones, servicios de desecho",5
30150000,Material para tejados y techos y relacionados (Grupo 3015),GROUP,Componentes para Construccion y Obras Civiles (Division 30),"material para techos, insumos para tejados, productos para techado, materiales de cubiertas, suministros para techos",5
42280000,Equipo y accesorios de esterilizadores y de autoclave y relacionados (Grupo 4228),GROUP,Equipo Medico y Suministros (Division 42),"accesorios de autoclave, equipo de esterilización, dispositivos de esterilización, herramientas de autoclave, suministros de esterilización",5
56130000,Maniquies y formas y relacionados (Grupo 5613),GROUP,Muebles y Mobiliario (Division 56),"maniquíes, formas para exhibición, modelos de exhibición, soportes para ropa, estructuras de presentación",5
80150000,Facilitacion del comercio y relacionados (Grupo 8015),GROUP,Servicios de Gestion y Administrativos (Division 80),"servicios de comercio, gestión comercial, facilitación de negocios, administración comercial, servicios administrativos",5
85110000,Prevencion y control de enfermedades contagiosas y relacionados (Grupo 8511),GROUP,Servicios de Salud (Division 85),"control de enfermedades, prevención de contagios, servicios de salud pública, atención médica preventiva, gestión de enfermedades",5
43202100,Accesorios de dispositivos de almacenamiento extraibles,CLASS,Tarjetas del sistema y relacionados (Grupo 4320),"accesorios de almacenamiento, dispositivos extraíbles, memoria externa, tarjetas de memoria, unidades USB, discos duros externos",6
43233700,Software de administracion de sistemas,CLASS,Software funcional especifico de la empresa y relacionados (Grupo 4323),"software administrativo, software de gestión, programas de administración, aplicaciones de sistemas, software empresarial, software de control",6
50363000,Pitahayas en lata o en frasco,CLASS,Manzanas en lata o en frasco y relacionados (Grupo 5036),"pitahayas en conserva, fruta enlatada, pitahaya en frasco, pitaya en lata, fruta en tarro, pitahaya procesada",6
50415400,Alverjas Organicas,CLASS,Alcachofas organicas y relacionados (Grupo 5041),"alverjas, guisantes orgánicos, chícharos orgánicos, legumbres orgánicas, verduras orgánicas, alverjas frescas",6
56111500,Sitios de trabajo y paquetes para la oficina,CLASS,Sitios de trabajo y paquetes para la oficina y relacionados (Grupo 5611),"paquetes de oficina, mobiliario de oficina, espacios de trabajo, kits de oficina, estaciones de trabajo, equipo de oficina",6
56121700,Modulos de almacenamiento general y de libros para las aulas,CLASS,Mobiliario de biblioteca y relacionados (Grupo 5612),"módulos de almacenamiento, estanterías para libros, muebles para aulas, bibliotecas escolares, mobiliario educativo, estantes de libros",6
