code,name,level,parent_name,similar_words,num_synonyms
10101600,Pájaros y aves de corral vivos,CLASS,Animales vivos de granja y relacionados (Grupo 1010),"aves vivas, pollos vivos, gallinas, pavos, patos, aves de corral",6
10110000,Accesorios y relacionados (Grupo 1011),GROUP,Material Vivo Animal y Vegetal (División 10),"accesorios animales, equipo ganadero, implementos granja, herramientas pecuarias, suministros animales",5
10111300,"Accesorios, equipo y tratamientos para los animales domésticos",CLASS,Accesorios y relacionados (Grupo 1011),"accesorios mascotas, equipo mascotas, tratamiento animales domésticos, jaulas, comederos, bebederos",6
10121600,Alimento para pájaros y aves de corral,CLASS,Pienso para ganado y relacionados (Grupo 1012),"alimento aves, comida pájaros, concentrado aves, pienso pájaros, semilla para pájaros",5
10151800,Semillas y plántulas de especias,CLASS,Semillas y plántulas vegetales y relacionados (Grupo 1015),"semillas especias, semillas condimentos, plántulas especias, semillero especias, semillas aromáticas",5
10152200,Semillas de cultivos fibrosos y semilleros,CLASS,Semillas y plántulas vegetales y relacionados (Grupo 1015),"semillas fibra, semillas algodón, semillas lino, semilleros fibra, semillas textiles",5
10161500,Árboles y arbustos,CLASS,Árboles y arbustos y relacionados (Grupo 1016),"árboles vivos, arbustos, plantas leñosas, árboles ornamentales, plantas forestales",5
10201939,Rosal vivo phoebe o ausnotice,PRODUCT,Rosales vivos rosado claro,"rosal phoebe, rosa phoebe, planta rosal, flor rosal rosa, rosal decorativo",5
10201940,Rosal vivo pink farfalla,PRODUCT,Rosales vivos rosado claro,"rosal pink farfalla, rosa farfalla, rosal rosa claro, planta rosal rosa",4
10201941,Rosal vivo pink finess,PRODUCT,Rosales vivos rosado claro,"rosal pink finess, rosa finess, rosal rosa pálido, flor rosal rosa",4
10201942,Rosal vivo pink magic,PRODUCT,Rosales vivos rosado claro,"rosal pink magic, rosa magic, rosal rosa mágico, planta rosal rosa",4
10201943,Rosal vivo pink osiana,PRODUCT,Rosales vivos rosado claro,"rosal pink osiana, rosa osiana, rosal rosa claro, flor rosal rosa",4
10201944,Rosal vivo pretty woman,PRODUCT,Rosales vivos rosado claro,"rosal pretty woman, rosa pretty woman, rosal rosa hermoso, planta rosal rosa",4
10201945,Rosal vivo romance,PRODUCT,Rosales vivos rosado claro,"rosal romance, rosa romance, rosal rosa romántico, flor rosal rosa",4
10201946,Rosal vivo romantic antike o antique,PRODUCT,Rosales vivos rosado claro,"rosal romantic antike, rosa antique, rosal rosa antiguo, planta rosal rosa",4
10201947,Rosal vivo rosalind o astew,PRODUCT,Rosales vivos rosado claro,"rosal rosalind, rosa astew, rosal rosa claro, flor rosal rosa",4
10201948,Rosal vivo rosita vendela,PRODUCT,Rosales vivos rosado claro,"rosal rosita vendela, rosa vendela, rosal rosa vendela, planta rosal rosa",4
10201949,Rosal vivo secret garden,PRODUCT,Rosales vivos rosado claro,"rosal secret garden, rosa secret garden, rosal rosa jardín secreto, flor rosal",4
10201950,Rosal vivo solaire,PRODUCT,Rosales vivos rosado claro,"rosal solaire, rosa solaire, rosal rosa solar, planta rosal rosa",4
10201951,Rosal vivo sophie,PRODUCT,Rosales vivos rosado claro,"rosal sophie, rosa sophie, rosal rosa sofía, flor rosal rosa",4
10201952,Rosal vivo sweet akito,PRODUCT,Rosales vivos rosado claro,"rosal sweet akito, rosa akito, rosal rosa dulce, planta rosal rosa",4
10201953,Rosal vivo sweet avalanche,PRODUCT,Rosales vivos rosado claro,"rosal sweet avalanche, rosa avalanche, rosal rosa avalancha, flor rosal rosa",4
10201954,Rosal vivo sweet elegance,PRODUCT,Rosales vivos rosado claro,"rosal sweet elegance, rosa elegance, rosal rosa elegante, planta rosal rosa",4
10201955,Rosal vivo sweet pink,PRODUCT,Rosales vivos rosado claro,"rosal sweet pink, rosa sweet pink, rosal rosa dulce, flor rosal rosa",4
10201956,Rosal vivo titanic,PRODUCT,Rosales vivos rosado claro,"rosal titanic, rosa titanic, rosal rosa titánico, planta rosal rosa",4
