code,name,level,gpt-4o-mini_prompt_v1,gpt-4o-mini_prompt_v2,gpt-4o_prompt_v1,gpt-4o_prompt_v2
43000000,"Tecnologia de la Informacion, Telecomunicaciones y Difusion (Division 43)",DIVISION,"tecnología, telecomunicaciones, difusión, servicios de TI, informática, tecnología de la información, telecomunicaciones y difusión","tecnología, telecomunicaciones, difusión, IT, informática","TI, telecomunicaciones, difusión, tecnología, informática, sistemas, comunicaciones","tecnologia, telecomunicaciones, difusion, TI, IT"
56000000,Muebles y Mobiliario (Division 56),DIVISION,"muebles, mobiliario, decoración, artículos de oficina, muebles de casa, mobiliario comercial, muebles y accesorios","muebles, mobiliario, sillas, mesas, decoración","mobiliario, muebles, equipamiento, decoración, amueblado, interiorismo, enseres","muebles, mobiliario, muebles oficina, muebles hogar, mobiliario comercial"
43210000,Equipo informático y accesorios y relacionados (Grupo 4321),GROUP,"equipo de cómputo, accesorios de computadora, hardware, tecnología informática, dispositivos informáticos, equipo tecnológico","computadora, equipo de cómputo, accesorios, hardware","hardware, accesorios de cómputo, periféricos, equipo de TI, componentes, gadgets, dispositivos","equipo informatico, accesorios compu, hardware, perifericos, componentes PC"
50200000,Bebidas y relacionados (Grupo 5020),GROUP,"bebidas, bebidas no alcohólicas, refrescos, jugos, productos de bebidas, bebidas y alimentos","bebidas, refrescos, cervezas, jugos, alcohol","bebidas, refrescos, líquidos, jugos, bebidas embotelladas, bebidas preparadas, bebidas enlatadas","bebidas, refrescos, jugos, bebidas alcoholicas, bebidas energeticas"
43211500,Computadores,CLASS,"computadoras, PC, ordenadores, equipos de cómputo, sistemas informáticos, computadoras personales","computadora, PC, desktop, equipo de cómputo","ordenadores, computadoras, PCs, equipos de cómputo, máquinas, laptops, desktops","computadoras, compus, PCs, ordenadores, laptops"
43211700,Dispositivos de almacenamiento,CLASS,"almacenamiento, discos duros, unidades de almacenamiento, memoria externa, dispositivos de memoria, almacenamiento digital","disco duro, memoria, almacenamiento, USB","almacenamiento, discos duros, SSD, memorias, pendrives, unidades de almacenamiento, dispositivos de memoria","almacenamiento, discos duros, USB, SSD, tarjetas memoria"
50202300,Bebidas alcoholicas,CLASS,"bebidas alcohólicas, licores, cervezas, vinos, destilados, bebidas espirituosas","cerveza, vino, tequila, licor, bebidas alcohólicas","licores, vinos, cervezas, destilados, espirituosos, tragos, bebidas embriagantes","alcohol, chelas, vinos, licores, cervezas"
80141600,Actividades de ventas y promocion de negocios,CLASS,"ventas, promoción, mercadeo, publicidad, actividades comerciales, estrategias de ventas","ventas, promoción, mercadeo, publicidad, distribución","marketing, promoción, ventas, publicidad, campañas, mercadotecnia, estrategias de ventas","ventas, promocion, marketing, publicidad, mercadeo"
43211501,Computadores de tableta,PRODUCT,"tabletas, computadoras portátiles, dispositivos tablet, tabletas electrónicas, tablets, computadoras táctiles","tablet, iPad, computadora portátil, dispositivo móvil","tabletas, tablets, iPads, dispositivos móviles, computadoras portátiles, dispositivos táctiles, equipos de mano","tabletas, tablets, iPad, Galaxy Tab, dispositivos tactiles"
43211503,Computadores notebook,PRODUCT,"notebooks, laptops, computadoras portátiles, equipos móviles, ordenadores portátiles, computadoras ligeras","notebook, laptop, computadora portátil, equipo móvil","laptops, portátiles, notebooks, computadoras portátiles, ultrabooks, equipos móviles, ordenadores portátiles","notebooks, laptops, portatiles, ultrabooks, MacBook"
